region,province,milieu,type_centre,propriete,superficie_m2,etat_centre,province_id
Béni Mellal-Khénifra,KHOURIBGA,Urbain,CSP B,Commune,3800,Opérationnel,MA-KHO
Béni Mellal-Khénifra,KHOURIBGA,Rural,CSP C,Commune,3200,Opérationnel,MA-KHO
Laâyoune-Sakia El Hamra (EH-partial),Laayoune,Urbain,CSP A,Domaine de l'État,4961,Opérationnel,MA-LAA
Laâyoune-Sakia El Hamra (EH-partial),Boujdour,Urbain,CSP A,MJCC,5336,Opérationnel,MA-BOD
Laâyoune-Sakia El Hamra (EH-partial),ES-semara,Urbain,CSP A,MJCC,5568,Opérationnel,MA-ESM
Laâyoune-Sakia El Hamra (EH-partial),ES-semara,Urbain,CSP A,MJCC,15211,Opérationnel,MA-ESM
Laâyoune-Sakia El Hamra (EH-partial),ES-semara,Urbain,CSP A,MJCC,19289,Quasi-opérationnel,MA-ESM
Laâyoune-Sakia El Hamra (EH-partial),Tarfaya,Urbain,CSP A,MJCC,8000,Opérationnel,MA-TAF
Casablanca-Settat,SETTAT,Urbain,CSP B,MJCC,3000,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Rural,CSP B,MJCC,3599,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Rural,CSP B,MJCC,4069,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Urbain,CSP B,MJCC,2860,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Urbain,CSP B,MJCC,3316,Opérationnel,MA-SET
Casablanca-Settat,Mohammedia,Urbain,CSP A,Domaine Communal,2,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP B,Domaine Communal,2,Opérationnel,MA-MOH
Casablanca-Settat,Berrechid,Urbain,CSP A,NON,2,Opérationnel,MA-BRR
Casablanca-Settat,El Jadida,Urbain,CSP A,NON,2,Opérationnel,MA-JDI
Casablanca-Settat,Benslimane,Urbain,CSP A,Al Omrane,6080,Opérationnel,MA-BES
Casablanca-Settat,Benslimane,Urbain,CSP A,MJCC,5000,Opérationnel,MA-BES
Casablanca-Settat,Benslimane,Urbain,CSP A,Al Omrane,4690,Opérationnel,MA-BES
Casablanca-Settat,mediouna,Rural,CSP,NON,2,Opérationnel,MA-MED
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,MJCC,9900,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,Al Omrane,950,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,MJCC,2384,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,MJCC,11400,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,MJCC,5500,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,Commune,2300,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,NON,2,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,MJCC,1000,Opérationnel,MA-NOU
Casablanca-Settat,Mohammedia,Urbain,CSP,Commune,5000,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP A,Commune,4800,Quasi-opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP A,Domaine de l'État,4000,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Rural,CSP B,NON,2461,Quasi-opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP A,Domaine de l'État,6312,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Rural,CSP B,Commune,2160,Quasi-opérationnel,MA-MOH
Casablanca-Settat,Sidi Bennour,Urbain,CSP A,NON,2,Opérationnel,MA-SIB
Casablanca-Settat,Sidi Bennour,Urbain,CSP A,NON,2,Quasi-opérationnel,MA-SIB
Dakhla-Oued Ed-Dahab (EH),Aousserd,Rural,CSP B,MJCC,2,Opérationnel,MA-AOU
Dakhla-Oued Ed-Dahab (EH),Oued Eddahab,Urbain,CSP B,MJCC,5805,Opérationnel,MA-OUD
Dakhla-Oued Ed-Dahab (EH),Oued Eddahab,Urbain,CSP B,MJCC,5028,Opérationnel,MA-OUD
Drâa-Tafilalet,Ouarzazate,Urbain,CSP A,Domaine Communal,3500,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP A,Domaine Communal,3500,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP A,Domaine Communal,4000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Domaine Communal,6000,Quasi-opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Urbain,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Urbain,CSP C,Domaine Communal,6000,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Urbain,CSP C,NON,4000,Opérationnel,MA-OUA
Drâa-Tafilalet,TINGHIR,Urbain,CSP A,MJCC,4000,Opérationnel,MA-TIN
Drâa-Tafilalet,TINGHIR,Urbain,CSP A,MJCC,5000,Opérationnel,MA-TIN
Drâa-Tafilalet,TINGHIR,Rural,CSP A,MJCC,6000,Opérationnel,MA-TIN
Drâa-Tafilalet,ZAGORA,Rural,CSP C,MJCC,1000,Non opérationnel,MA-ZAG
Drâa-Tafilalet,ZAGORA,Urbain,CSP A,MJCC,1200,Opérationnel,MA-ZAG
Drâa-Tafilalet,ZAGORA,Urbain,CSP A,MJCC,1200,Opérationnel,MA-ZAG
Drâa-Tafilalet,Midelt,Rural,CSP,INDH,2,Non opérationnel,MA-MID
Drâa-Tafilalet,Midelt,Rural,CSP,Domaine Communal,2000,Non opérationnel,MA-MID
Drâa-Tafilalet,Errachidia,Urbain,CSP B,Domaine Communal,3500,Opérationnel,MA-ERR
